ProductID,Description,ProductTypeID
AB01,Bimas Phone loan (Monthly),LN
AB02,Phone Loans (Weekly),LN
AB03,AFYA BORA,LN
AB04,AFYA BORA (BIASHARA),LN
AF01,ASSET FINANCING (BIASHARA) - MONTHLY,LN
AF02,ASSET FINANCING (BIASHARA) - WEEKLY,LN
BB01,Boudget Booster (1 Month),LN
BB02,Budget Booster (2 Months),LN
BC01,BIMAS CHAP CHAP,LN
BC02,Digi@30,LN
BCL,BIMAS CHECK-OFF LOANS,LN
BD01,BODA BODA LOAN(WEEKLY),LN
BD02,BODA BODA (BIASHARA)-WEEKLY,LN
BD03,BODA BODA LOAN (MONTHLY),LN
BD04,BODA BODA (BIASHARA) - MONTHLY,LN
BK,B-KASH (Digi@30),LN
BKP,BEE KEEPERS,LN
BL01,BIASHARA LOAN,LN
BL02,BIASHARA LOAN-TOP UP,LN
BL03,BIASHARA LOAN  REDUCING,LN
BL04,BIASHARA LOAN-WEEKLY,LN
BP01,Water Purifier (Monthly),LN
BP02,BUSINESS PERMITS LOAN (GROUP),LN
BP03,Water Purifier (Weekly),LN
BS01,BIASHARA SAVINGS,CS
BWP,Bimas Wash Loans,LN
BWPM,Bimas Wash Loans (Monthly),LN
CA01,Collateral Fees Deposits,CS
DA01,Disbursement Account,SB
DBD,DARAJA - BODA BODA,LN
DCHAP,Bimas Mobile Wallet,SB
DD,DAIRY SAVINGS,CS
DG01,DIGITIKA NA BIMAS (INDIVIDUAL) - WEEKLY,LN
DG02,DIGITIKA NA BIMAS (INDIVIDUAL) - BI-MONTHLY,LN
DG03,DIGITIKA NA BIMAS (INDIVIDUAL) - MONTHLY,LN
DG04,DIGITIKA NA BIMAS - WEEKLY,LN
DG05,DIGITIKA NA BIMAS - MONTHLY,LN
DL01,DAIRY LOAN - WEEKLY,LN
DL02,INDIV DAIRY LOAN (007),LN
DL03,INDIV DAIRY LOAN (WEEKLY),LN
DL04,DAIRY LOAN (MONTHLY),LN
DL05,DAIRY LOAN (MONTHLY) - 2014,LN
EJ01,ENERGY SAVING JIKO - WEEKLY,LN
EJ02,ENERGY SAVING JIKO - MONTHLY,LN
GS01,MSINGI SAVINGS,CS
GS02,HITIMU SAVINGS,CS
GS03,SOKO KWA SOKO SAVINGS,CS
GS04,IMARIKA SAVINGS,CS
GS05,DAIRY SAVINGS,CS
GS06,BODA BODA GROUP SAVINGS,CS
HT01,HITIMU LOAN (WEEKLY),LN
HT02,EDUCATION LOANS (WEEKLY),LN
HT03,HITIMU LOAN (MONTHLY),LN
HT04,EDUCATION LOAN (MONTHLY),LN
IM01,IMARIKA LOAN,LN
IM02,IMARIKA LOAN - MONTHLY,LN
IV01,INVESTMENT LOAN (WEEKLY),LN
IV02,INVESTMENT LOAN (WEEKLY),LN
IV03,INVESTMENT LOAN (MONTHLY),LN
JK01,JAMII KAMILI LOAN (WEEKLY),LN
JK02,JAMII KAMILI LOAN (MONTHLY),LN
KB01,KILIMO BORA - CHIPUKIZI,LN
KB02,KILIMO BORA - DARAJA,LN
KB03,KILIMO BORA - FARM ASSETS,LN
KB04,KILIMO BORA - CHIPUKIZI (BIASHARA),LN
KB05,KILIMO BORA - DARAJA (BIASHARA),LN
KG01,K-GAS LOAN,LN
MB01,LOAN INSURANCE FINANCING (WKLY),LN
MB02,LOAN INSURANCE FINANCING (MNTHLY),LN
MBEGU1,Mbegu Loans Weekly,LN
MBEGU2,Mbegu Loans Monthly,LN
MJ01,MAJI SAFI LOAN WEEKLY,LN
MJ02,MAJI SAFI LOAN MONTHLY,LN
MK01,MAJI KILIMO LOAN,LN
MKS1,MAJI KILIMO SAVINGS,CS
ML01,MAENDELEO LOAN (WEEKLY),LN
ML02,MAENDELEO LOAN (MONTHLY),LN
MS01,MSINGI LOAN,LN
MS02,MSINGI MONTHLY,LN
NH,NHIF LOAN (WEEKLY),LN
NH01,NHIF LOAN (MONTHLY),LN
PL01,PROJECT LOAN,LN
PL02,PROJECT LOAN -MONTHLY,LN
S01,Loan Guarantee Savings,CS
SAV01,Group Collection Accounts,SB
SG01,SALARY LOAN SAVINGS,CS
SL01,SOLAR LOAN,LN
SL02,SOLAR LOAN MONTHLY,LN
SP01,SALARY LOAN,LN
SP02,SALARY LOAN,LN
SS01,SOKO KWA SOKO,LN
UP01,UPESI LOAN (WEEKLY),LN
UP02,UPESI LOAN (MONTHLY),LN
VJ,VIJANA ZINDUKENI LOAN,LN
VJ01,VIJANA ZINDUKENI SAVINGS,CS
VJ02,VIJANA ZINDUKENI LOAN,LN
VJ03,VIJANA / MANAPLUS LOAN II,LN
WF01,MAMA PLUS LOAN(WEEKLY),LN
WF02,MSINGI (INDIV MAMAPLUS LOAN (WEEKLY),LN
WF03,(MSINGI)INDIV MAMA PLUS (MONTHLY),LN
WF04,(MSINGI) MAMA PLUS LOAN,LN
WF05,WOMEN FUND MONTHLY,LN
WF06,WOMEN FUND WEEKLY,LN
WS01,MAMA PLUS SAVINGS,CS
